api_version,category,method,endpoint,description,requires_auth,requires_admin,status_code,response_time_ms,success,error_message,test_timestamp
v3,Export,POST,/api/v3/exports/contacts/export,Create contact export. Create a CSV export of selected contacts. Accepts a list of contact UUIDs and generates a CSV file containing all contact, company, contact metadata,422,5.00,TRUE,,2025-12-26T03:57:59.239798Z
v3,Export,GET,/api/v3/exports/{export_id}/status,Get export status. Get the status of an export job. Returns detailed status information including progress percentage, estimated time remaining, error messages,404,3036.32,TRUE,,2025-12-26T03:57:59.239798Z
v3,Export,GET,/api/v3/exports/{export_id}/download,Download export. Download a completed export CSV file using a signed URL. The download URL is generated when the export completes and expires after 24 hours.,TRUE,FALSE,,0.00,TRUE,Skipped: Requires valid export token from actual export operation,2025-12-26T03:57:59.239798Z
v3,Export,POST,/api/v3/exports/companies/export,Create company export. Create a CSV export of selected companies. Accepts a list of company UUIDs and generates a CSV file containing all company and company metadata fields. The export is processed asynchronously in the background.,TRUE,FALSE,422,10.00,TRUE,,2025-12-26T03:57:59.239798Z
v3,Export,POST,/api/v3/exports/contacts/export/chunked,Create chunked contact export. Create a chunked CSV export of contacts using VQL query. This endpoint allows exporting large result sets by processing them in chunks. The export is processed asynchronously in the background.,TRUE,FALSE,422,11.00,TRUE,,2025-12-26T03:57:59.239798Z
v3,Export,DELETE,/api/v3/exports/{export_id}/cancel,Cancel export. Cancel a pending or processing export job. Once cancelled, the export cannot be resumed.,TRUE,FALSE,200,,,
v3,Export,GET,/api/v3/exports/,List exports. Get a paginated list of all exports for the current user. Supports filtering by status, export_type, and date range.,200,2084.31,TRUE,,2025-12-26T03:57:59.239798Z
v3,Export,DELETE,/api/v3/exports/files,Delete all CSV files (Admin only). Delete all CSV export files from S3 storage. This is an admin-only operation that permanently removes all export files.,TRUE,TRUE,204,,,,
v3,LinkedIn,POST,/api/v3/linkedin/,Search by LinkedIn URL. Search for contacts and companies by LinkedIn URL. This endpoint searches both person LinkedIn URLs (from ContactMetadata.linkedin_url) and company LinkedIn URLs (from CompanyMetadata.linkedin_url), returning all matching records with their related data.,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v3,Activities,GET,/api/v3/activities/,List user activities. Get the current user's activity history with optional filtering and pagination.,TRUE,FALSE,200,4289.74,TRUE,,2025-12-26T03:57:59.239798Z
v3,Activities,GET,/api/v3/activities/stats/,Get activity statistics. Get activity statistics for the current user, including counts by service type, action type,200,3979.47,TRUE,,2025-12-26T03:57:59.239798Z
v3,S3,GET,/api/v3/s3/files,List all CSV files. List all CSV files in the S3 bucket with their metadata. Supports optional prefix filtering.,TRUE,FALSE,200,2019.73,TRUE,,2025-12-26T03:57:59.239798Z
v3,S3,GET,/api/v3/s3/files/{file_id},Get CSV file or paginated data. Get a CSV file from S3 or read paginated data from a CSV file. This endpoint has dual functionality: if no query parameters are provided, it downloads the full CSV file. If pagination parameters (limit, offset) are provided,404,3003.20,TRUE,,2025-12-26T03:57:59.239798Z
v3,Sales Navigator,POST,/api/v3/sales-navigator/scrape,Scrape Sales Navigator HTML. Scrape Sales Navigator HTML content and extract all profile data into a structured JSON format. This endpoint accepts HTML content from a Sales Navigator search results page and extracts profile information including names, titles, companies,200,17.46,TRUE,,2025-12-26T03:57:59.239798Z
v4,Marketing,GET,/api/v4/marketing/{page_id},Get a published marketing page by page_id with access control. Public users see all content with locked components showing upgrade prompts. Authenticated users see content filtered by their role.,FALSE,FALSE,404,4606.70,TRUE,,2025-12-26T03:57:59.239798Z
v4,Marketing,GET,/api/v4/marketing/,List all published marketing pages. This endpoint only returns published pages. Use admin endpoints to access drafts.,FALSE,FALSE,200,855.69,TRUE,,2025-12-26T03:57:59.239798Z
v4,Admin Marketing,GET,/api/v4/admin/marketing/,List all marketing pages (admin only). Includes drafts and optionally deleted pages.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v4,Admin Marketing,GET,/api/v4/admin/marketing/{page_id},Get any marketing page by page_id (admin only). Returns pages regardless of status (published, draft, or deleted).,404,4290.09,TRUE,,2025-12-26T03:57:59.239798Z
v4,Admin Marketing,POST,/api/v4/admin/marketing/,Create a new marketing page (admin only). Pages are created as drafts by default unless status is explicitly set to 'published'.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v4,Admin Marketing,PUT,/api/v4/admin/marketing/{page_id},Update an existing marketing page (admin only). Only provided fields will be updated. Version is automatically incremented.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v4,Admin Marketing,DELETE,/api/v4/admin/marketing/{page_id},Delete a marketing page (admin only). By default, performs a soft delete (sets status to 'deleted'). Set hard_delete=true to permanently remove the page.,TRUE,TRUE,204,,,
v4,Admin Marketing,POST,/api/v4/admin/marketing/{page_id}/publish,Publish a draft marketing page (admin only). Changes the page status from 'draft' to 'published'.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v4,Dashboard Pages,GET,/api/v4/dashboard-pages/{page_id},Get a dashboard page by page_id with access control. Requires authentication. Returns page data filtered by user role.,TRUE,FALSE,404,2273.95,TRUE,,2025-12-26T03:57:59.239798Z
v4,Dashboard Pages,GET,/api/v4/dashboard-pages/,List all dashboard pages. Requires authentication. Returns pages filtered by user role.,TRUE,FALSE,200,5121.13,TRUE,,2025-12-26T03:57:59.239798Z
v4,Admin Dashboard Pages,GET,/api/v4/admin/dashboard-pages/,List all dashboard pages (admin only). Returns all pages without filtering.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v4,Admin Dashboard Pages,GET,/api/v4/admin/dashboard-pages/{page_id},Get any dashboard page by page_id (admin only). Returns full page data without filtering.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v4,Admin Dashboard Pages,POST,/api/v4/admin/dashboard-pages/,Create a new dashboard page (admin only).,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v4,Admin Dashboard Pages,PUT,/api/v4/admin/dashboard-pages/{page_id},Update an existing dashboard page (admin only). Only provided fields will be updated. Version is automatically incremented.,TRUE,TRUE,,0.00,TRUE,Skipped: Admin authentication required but not available,2025-12-26T03:57:59.239798Z
v4,Admin Dashboard Pages,DELETE,/api/v4/admin/dashboard-pages/{page_id},Delete a dashboard page (admin only).,TRUE,TRUE,204,,,,
